License_Number,Company_Name,Address,Issue_Date,Expiration_Date,Status,License_Limitation,Classifications,Qualifier_Number,Qualifier_Status
85168,24North Investments LLC,"1124 Raven Perch Dr.
Wendell, NC 27591",03/02/2021,12/31/2025,Active,Limited,Residential,11011,Active
106057,51st State Inc.,"4030 Wake Forest Road, Ste. 349 Raleigh, NC 27609",05/20/2025,12/31/2025,Active,Unlimited,Building,105305,Active
52165,"A & D Enterprises, Inc., T/A","P.O. Box 1446
Fort Mill, SC 29716",01/02/2003,12/31/2004,Archived,Limited,Building,,Status
34951,"A & M Ventures, Inc.","5520 McNeely Dr., Suite 305
RALEIGH, NC 27612",07/19/1995,12/31/2025,Active,Unlimited,Building; Highway; PU(Water Lines & Sewer Lines),7212,Active
62945,"A&D Environmental Services, Inc.","PO Box 484
High Point, NC 27261",04/12/2007,12/31/2025,Active,Unlimited,Building,21984,Active
103298,A&M Premier Roofing & Construction LLC,"5540 Centerview Dr.
Raleigh, NC 27606",05/21/2024,12/31/2025,Active,Unlimited,Building,106168,Active
101115,"A+ Tree and Crane Services, Inc.","5540 Centerview Dr.
Ste 200
Raleigh , NC 27606",07/18/2023,12/31/2025,Active,Limited,Building; PU(Water Lines & Sewer Lines),8658,Active
37191,"A1 Consulting Group, Inc.","117 International Dr
Morrisville, NC 27560",07/10/1996,12/31/2025,Active,Unlimited,Building; Highway,10049,Active
71930,Abtak of Durham Inc,"11 Logging Trl
Durham, NC 27707",05/03/2012,12/31/2023,Invalid,Limited,Building; PU(Water Lines & Sewer Lines),17776,Active
84462,"AC Grading & Farm, Inc.","11128 Beatties Ford Rd.
Huntersville, NC 28078",11/10/2020,12/31/2025,Invalid,Limited,PU(Water Lines & Sewer Lines),58733,Active
27503,"Richard G. Lang, T/A","1137 42nd St.
Wilmington, NC 28403",07/18/1990,,Archived,Limited,Building,,
40385,"Ace/Avant Concrete Construction Co., Inc.","PO Box 14006
Archdale, NC 27263",10/14/1997,12/31/2025,Active,Unlimited,Building; Highway; PU(Water Lines & Sewer Lines),11435; 34416; 34655; 34665; 59011,Active; Active; Active; Active; Active
85395,"Action Environmental, LLC","204 20th St. North
Birminham, AL 35203",03/30/2021,12/31/2026,Active,Unlimited,Building,99900,Active
53943,"Advanced Wireless Solutions, Inc.","P. O. Box 8593
Gray, TN 37615",09/15/2003,12/31/2025,Active,Limited,Building; PU (Communications),17504,Active
40010,"AECOM Technical Services, Inc.","120 S Central Ave Ste 400
Clayton, MO 63105",07/09/1997,12/31/2025,Active,Unlimited,Building; PU(Water Pur. & Sewage Disp.),100050,Active
43398,"AML East, LLC","601 Jack Ends Blvd
Berryville, VA 22611",01/13/1999,12/31/2025,Active,Unlimited,PU(Water Lines & Sewer Lines),12762; 12763,Active; Active
99662,Anson Group LLC,"13828 Ballantyne Meadows
Charlotte, NC 28277",01/02/2023,12/31/2025,Active,Unlimited,Building; Public Utilities,23322,Active
87280,"Arrowhead Contractors, LLC","61 Lucy Long Rd
Cherokee, NC 28719",02/15/2022,12/31/2026,Active,Unlimited,Unclassified,97041; 17682; 17679,Active; Active; Active
102249,"Ashbritt, Inc.","565 East Hillsboro Blvd
Deerfield Beach, FL 33441",01/02/2024,12/31/2025,Active,Unlimited,Building; Highway,24685,Active
79709,"ATD Building, Inc","6622 Gordon Road Ste. K
Wilmington, NC 28411",03/27/2018,12/31/2025,Active,Unlimited,Building; Public Utilities,32150; 34657,Active; Active
79283,"Atlantic On-Site Development, LLC","408 N. Green St.
Holly Ridge, NC 28445",12/12/2017,12/31/2025,Active,Unlimited,Building; Public Utilities,33078,Active
71938,"B & B Crane Service, LLC","PO Box 1594
Shallotte, NC 28459",05/19/2012,12/31/2025,Active,Unlimited,Highway; PU(Water Lines & Sewer Lines); S (Metal Erection),21202,Active
75683,"B & N Grading, Inc.","227B Atando Avenue
Charlotte, NC 28206",06/04/2015,12/31/2025,Active,Unlimited,Highway; PU(Water Lines & Sewer Lines),30319,Active
83849,Badger Daylighting Corp.,"4910 N CR 900 E
Brownsburg, IN 46112",07/21/2020,12/31/2025,Active,Unlimited,H (Grading & Excavating),99967,Active
67734,Baker's Construction & Excavation Company,"4620 Weaver Pike
Bluff City, TN 37618",04/02/2009,12/31/2025,Active,Unlimited,H (Grading & Excavating); PU(Water Lines & Sewer Lines),24672,Active
101293,Balca Inc.,"483 Cranberry Woods Dr
Fleetwood, NC 28626",08/15/2023,12/31/2025,Active,Unlimited,Unclassified,99961,Active
75557,Barbour Brothers Construction Inc,"PO Box 95
Pikeville, NC 27863",05/07/2015,12/31/2025,Active,Unlimited,Highway; PU(Water Lines & Sewer Lines),30217,Active
11909,"Barrow Construction, Inc.","P. O. Box 8861
Greensboro, NC 27419",07/23/1980,12/31/2025,Active,Limited,PU(Water Lines & Sewer Lines),01576; 01575,Active; Active
83493,Barton Malow Builders LLC,"26500 American Dr.
Southfield, MI 48034",04/28/2020,12/31/2025,Active,Unlimited,Building,04611; 09062,Active; Active
51729,"Batista Grading, Inc.","710 West Main Street, Suite 113
Clayton, NC 27520",09/10/2002,12/31/2025,Active,Unlimited,Unclassified,16430,Active
58977,"Baxter Johnson Contracting, Inc.","P.O. Box 27257
Raleigh, NC 27611",11/15/2005,12/31/2025,Active,Unlimited,Highway; PU(Water Lines & Sewer Lines),19965,Active
