Vendor_Name,License_Number,Address,City,State,ZipCode,County,Country,URL,Evp_Status,NC_eProcurement,HUB,HUB_Category,HUB_Cert_Start_Date,HUB_Cert_End_Date,HUB_Active,PWC_Active,NCSBE,NCSBE_Cert_Start_Date,NCSBE_Cert_End_Date,Small_Business,DBE,NPWC,General_Contractor,General_Contractor_Limitation,General_Contractor_Work_Classification,General_Contractor_License_Number,Electrical_Contractor,Electrical_License_Specialties,Electrical_License_Level,Electrical_License_Number,Plumbing_Fire_Sprinkler_Contractor,Plumbing_Fire_Sprinkler_License_Classifications,Plumbing_Fire_Sprinkler_LicenseNumber,Mechanical_Heating,Mechanical_Heating_License_Classifications,Mechanical_Heating_License_Number,Trades_Sub-Contractor,Trades_Sub_Contractor_License_Number,Architectural_Services,Engineering_Services
24North Investments LLC,85168,1124 Raven Perch dr,wendell,North Carolina,27591,Wake,United States,,Active,Inactive,,,,,,,,,,0,0,0,1,Limited,Building; Residential; Public Utilities,85168,0,,,,0,,,0,,,0,,1,1
51st State Inc.,106057,"4030 Wake Forest Road, STE 349",Raleigh,North Carolina,27609,Wake,United States,https://www.51ststateconstruction.com,Active,Active,,,,,,,,,,0,0,0,1,Unlimited,Building; Residential; Highway; Public Utilities; Unclassified,106057,0,,,,0,,,0,,,0,,0,0
"A & D Enterprises, Inc.",52165,2975 Motsinger Road,Winston-Salem,North Carolina,27107,Davidson,United States,,Active,Inactive,Certified,Female,2022-01-06,2026-01-06,,,Certified,2022-02-15,2026-02-15,0,0,0,1,Limited,Public Utilities,68764,0,,,,0,,,0,,,1,,0,0
"A & M Ventures, Inc.",34951,"5520 McNeely Drive, Suite 303",Raleigh,North Carolina,27612,Wake,United States,https://www.habitechbuilders.com,Active,Not Applicable,Not Certified,,2019-12-13,2023-12-13,,,Not Certified,2019-12-13,2023-12-13,0,0,0,1,Unlimited,Building; Residential; Highway; Public Utilities,34951,0,,,,0,,,0,,,0,,0,1
A&D Environmental Services,62945,PO Box 484,High Point,North Carolina,27261,Guilford,United States,https://www.adenviro.com,Active,Active,,,,,,,,,,0,0,0,1,Unlimited,Building; Highway; Public Utilities; Unclassified,,0,,,,0,,,0,,,1,,0,1
A&M Premier Roofing & Construction,103298,5540 Centerview Dr,Raleigh,North Carolina,27606,Wake,United States,https://www.amprco.com,Active,Inactive,,,,,,,,,,0,0,0,1,,Building; Residential; Public Utilities,103298,0,,,,0,,,0,,,0,,0,0
"A+ TREE AND CRANE SERVICES, INC.",101115,5540 Centerview Dr.,Raleigh,North Carolina,27606,Wake,United States,https://www.aplustrees.com/,Active,Active,Certified,Black,2024-06-28,2028-06-28,,,,,,0,0,0,1,Limited,Building; Public Utilities,101115,0,,,,0,,,0,,,1,,0,0
"A1 Consulting Group, Inc.",37191,117 International Drive,Morrisville,North Carolina,27560,Wake,United States,https://www.a1consultinggroup.com,Active,Active,Certified,Asian American,2022-05-26,2026-05-26,,,,,,0,0,0,1,Unlimited,Building; Highway; Public Utilities; Unclassified,,0,,,,0,,,0,,,0,,1,1
ABTAK OF DURHAM INC,71930,11 LOGGING TRAIL,"DURHAM,",North Carolina,27707,Durham,United States,,Active,Not Applicable,Not Certified,,2020-08-05,2024-08-05,,,,,,0,0,0,1,,Building; Public Utilities,71930,1,,,,0,,,0,,,1,71930,0,0
AC Grading & Farm Inc,84462,16930 West Catawba Ave,Charlotte,North Carolina,28031,Mecklenburg,United States,,Active,Not Applicable,,,,,,,,,,0,0,0,1,Limited,Building; Highway; Public Utilities; Unclassified,84462,0,,,,0,,,0,,,0,,0,0
Ace Construction Enterprises,27503,PO Box 244,CANTON,North Carolina,28716,Haywood,United States,https://www.aceconstructioninc.com,Active,Active,Certified,Female,2022-07-06,2026-07-06,,,,,,0,0,0,1,Limited,Building; Residential; Highway; Public Utilities,65747,0,,,,0,,,0,,,1,65747,0,0
"Ace/Avant Concrete Construction Co., Inc.",40385,5358 Poole Road,Archdale,North Carolina,27263,Randolph,United States,https://www.aceavant.com,Active,Active,,,,,,,,,,0,0,0,1,Unlimited,Building; Highway; Public Utilities,40385,0,,,,0,,,0,,,0,,0,0
Action Environmental LLC,85395,204 20th Street North,Birmingham,Alabama,35203,,United States,https://www.actn.com,Active,Inactive,,,,,,,,,,0,0,0,1,,Building; Public Utilities,,0,,,,0,,,0,,,1,,0,1
Advanced Wireless Solutions,53943,225 Airport Rd.,Gray,Tennessee,37615,,United States,https://www.awsinc.biz,Active,Active,,,,,,,,,,0,0,0,1,Limited,Building; Public Utilities,53943,0,,,,0,,,0,,,0,,0,0
"AECOM Technical Services, Inc.",40010,7595 Technology Way,Denver,Colorado,80237,,United States,https://www.aecom.com,Active,Active,,,,,,,,,,0,0,0,1,,Highway; Public Utilities,,0,,,,0,,,0,,,0,,1,1
"AM-Liner East, Inc.",43398,,,,,,,https://www.amlinereast.com,Pending,Not Applicable,,,,,,,,,,0,0,0,1,Unlimited,Public Utilities,43398,0,,,,0,,,0,,,0,,0,0
